1,Veg Burger,150
2,Egg Burger,180
3,Mutton Burger,200
4,Chicken Burger,200
5,Veg Chowmein,200
6,Egg Chowmein,250
7,Chicken Chowmein,250
8,Veg Manchurian,180
9,Egg Manchurian,200
10,Chicken Manchurian,200
11,Tomato Cream Soup,180
12,Veg Hot & Sour Soup,200
13,Chicken Hot & Sour Soup,250
14,Veg Sweet Corn Soup,200
15,Chicken Soup,250
16,Veg Biryani,300
17,Egg Biryani,320
18,Mutton Biryani,350
19,Chicken Biryani,350
20,Mix Biryani,380
21,Plain Rice,200
22,Peas Pulao,250
23,Dhaniya Rice,250
24,Jeera Rice,250
25,Veg Fried Rice,300
26,Egg Fried Rice,320
27,Chicken Fried Rice,350
28,Mixed Fried Rice,350
29,Egg Curry,250
30,Egg Masala,250